1_liberary_count,1_liberary_related_count,1_liberary_unrelated_count,1_click_des_count,1_control_variable,1_strategy_count,1_click_restart_count,1_click_determine_count,1_related_time,1_unrelated_time,1_launch_action_diff,1_first_des_time,1_score,2_liberary_count,2_liberary_related_count,2_liberary_unrelated_count,2_click_des_count,2_control_variable,2_strategy_count,2_click_restart_count,2_click_determine_count,2_related_time,2_unrelated_time,2_launch_action_diff,2_first_des_time,2_score,3_liberary_count,3_liberary_related_count,3_liberary_unrelated_count,3_click_des_count,3_control_variable,3_strategy_count,3_click_restart_count,3_click_determine_count,3_related_time,3_unrelated_time,3_launch_action_diff,3_first_des_time,3_score,4_liberary_count,4_liberary_related_count,4_liberary_unrelated_count,4_click_des_count,4_control_variable,4_strategy_count,4_click_restart_count,4_click_determine_count,4_related_time,4_unrelated_time,4_launch_action_diff,4_first_des_time,4_score,5_liberary_count,5_liberary_related_count,5_liberary_unrelated_count,5_click_des_count,5_control_variable,5_strategy_count,5_click_restart_count,5_click_determine_count,5_related_time,5_unrelated_time,5_launch_action_diff,5_first_des_time,5_score,6_liberary_count,6_liberary_related_count,6_liberary_unrelated_count,6_click_des_count,6_control_variable,6_strategy_count,6_click_restart_count,6_click_determine_count,6_related_time,6_unrelated_time,6_launch_action_diff,6_first_des_time,6_score,name
0,0,0,0,0,0,1,6,0,0,30,15,40,0,0,0,0,1,0,1,5,0,0,6,3,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,16,0,0,14,7,60,0,0,0,1,0,0,0,7,0,0,21,4,40,110160794
2,1,1,0,0,0,0,11,3,5,33,13,40,2,1,1,0,1,0,0,5,10,2,43,10,80,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,10,0,0,23,6,100,2,0,2,0,0,0,0,25,0,8,40,7,60,4,2,2,0,0,0,0,8,11,6,63,3,40,110160790
0,0,0,0,0,0,0,10,0,0,50,32,40,0,0,0,0,0,0,0,7,0,0,12,4,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15,0,0,28,13,60,0,0,0,0,0,0,0,9,0,0,41,11,40,110160741
8,1,7,0,0,0,2,23,7,58,135,27,0,1,0,1,0,0,0,2,9,0,26,64,2,0,2,2,0,0,0,0,4,0,10,0,48,4,80,3,1,2,0,0,1,3,15,11,16,13,5,0,1,0,1,0,0,0,1,25,0,21,11,3,30,2,1,1,0,0,1,2,23,5,1,30,18,40,110160801
1,1,0,0,0,1,4,13,16,0,23,17,70,1,1,0,0,9,0,0,34,7,0,53,6,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,34,0,1,85,37,60,2,2,0,1,0,2,1,35,7,0,60,21,20,110160791
1,0,1,0,0,0,0,4,0,27,93,9,0,0,0,0,0,0,0,0,5,0,0,18,3,0,0,0,0,1,0,0,2,0,0,0,15,5,0,0,0,0,0,0,0,1,9,0,0,19,14,100,1,0,1,1,0,0,0,9,0,18,79,2,60,0,0,0,1,0,0,0,1,0,0,68,8,40,110160755
2,1,1,0,0,0,0,7,7,7,59,24,0,3,2,1,0,0,0,3,0,7,6,48,6,80,1,0,1,0,0,0,5,0,0,5,59,3,0,0,0,0,0,0,0,0,5,0,0,5,2,100,0,0,0,0,0,0,0,8,0,0,13,8,60,0,0,0,0,0,0,0,6,0,0,10,4,20,110160713
3,1,2,0,0,3,7,17,8,25,69,22,40,4,2,2,0,1,0,0,7,9,13,13,8,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,22,0,20,23,12,60,4,3,1,0,0,0,0,10,13,22,79,20,20,110160712
0,0,0,0,0,3,1,10,0,0,39,31,0,0,0,0,2,2,0,0,7,0,0,21,15,0,0,0,0,2,0,0,5,0,0,0,31,4,80,1,1,0,0,0,0,0,8,19,0,20,16,0,0,0,0,1,0,0,0,31,0,0,12,6,60,0,0,0,0,0,0,0,13,0,0,30,9,40,113132724
0,0,0,0,0,0,0,4,0,0,39,27,40,0,0,0,0,2,0,0,8,0,0,42,18,80,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,10,0,0,28,18,60,0,0,0,0,0,0,0,0,0,0,0,0,40,110160796
